,V1,V2,V3,V4,V5,V6,V7
158964 - 1,20.0328542094456,7.36755646817248,0.251332513325133,0.632226322263223,6.2,0,7
150860 - 1,8.07118412046543,1.3223819301848,0.0400271370420624,0.836160108548168,5.25,0,6
193793 - 1,12.0164271047228,9.01574264202601,0.250854408749146,0.249715197083618,6.8,0,9
155264 - 1,15.025325119781,3.03080082135524,0.201348396501458,0.798287172011662,7.75,0,8
106343 - 1,15.0034223134839,3.00342231348392,0.200182481751825,0.799817518248175,7.7,0,6
173784 - 1,24.9691991786448,8.96919917864476,0.199013157894737,0.64078947368421,6,0,6
182703 - 1,5.04859685147159,0.802190280629706,0.158893709327549,0.841106290672451,2.85,0,2
398230 - 1,10.0041067761807,0.75564681724846,0.0251778872468528,0.924466338259442,8.15,0,6
106994 - 1,15.0444900752909,1.04585900068446,0.0695177434030937,0.930482256596906,8,0,1
138585 - 1,10.0123203285421,2.01232032854209,0.200984413453651,0.79901558654635,7.1,0,6
581893 - 0,10.0287474332649,4.7501711156742,0.301938301938302,0.526344526344526,5.875,2,9
109679 - 0,9.82067077344285,9.82067077344285,0.288541957067187,0,5,2,15
143159 - 0,6.39561943874059,6.39561943874059,0.374571917808219,0,10,10,13
132797 - 0,29.7604380561259,4.82956878850103,0.159981600735971,0.83771849126035,0,4,6
414532 - 0,9.61806981519507,4.61875427789186,0.48021633931113,0.51978366068887,7.125,8,11
108437 - 0,11.1101984941821,6.11088295687885,0.460078856579596,0.449975357318876,10.75,10,15
197829 - 0,6.62559890485969,2.12731006160164,0.321074380165289,0.678925619834711,9.57031,10,16
185883 - 0,9.81793292265571,8.61327857631759,0.49079754601227,0.122699386503067,7.5,10,18
195202 - 0,9.59342915811088,6.3025325119781,0.478881278538813,0.343036529680365,7,8,14
163397 - 0,7.99726214921287,6.17111567419576,0.499828825744608,0.228346456692913,7.5,10,15
